source,target,area,type
Hector Outlet,Fabricio Teixeira,UX/UI,area
Hector Outlet,Santiago Bustelo,UX/UI,area
Hector Outlet,Sofía Quintero,UX/UI,area
Hector Outlet,Ximena Vengoechea,UX/UI,area
Fabricio Teixeira,Santiago Bustelo,UX/UI,area
Fabricio Teixeira,Sofía Quintero,UX/UI,area
Fabricio Teixeira,Ximena Vengoechea,UX/UI,area
Santiago Bustelo,Sofía Quintero,UX/UI,area
Santiago Bustelo,Ximena Vengoechea,UX/UI,area
Sofía Quintero,Ximena Vengoechea,UX/UI,area
Sofía Quintero,Ximena Vengoechea,Aprendizaje,valor
Carlos Cadenas,Tite Barbuzza,Autenticidad,valor
Alberto Montt,Ximena Ulibarri,Critica,valor
Felix Beltran,Jorge Alderete,Cultura,valor
Felix Beltran,Juskani Alonso,Cultura,valor
Jorge Alderete,Juskani Alonso,Cultura,valor
Fabricio Teixeira,Abel Carcamo,Educacion,valor
Dario Osorio,Ivel  Hernandez,Educación,valor
Dario Osorio,Cruz Contreras,Educación,valor
Dario Osorio,Osvaldo Zorzano,Educación,valor
Ivel  Hernandez,Cruz Contreras,Educación,valor
Ivel  Hernandez,Osvaldo Zorzano,Educación,valor
Cruz Contreras,Osvaldo Zorzano,Educación,valor
Lupe Gajardo,Antonio Contreras,Identidad local,valor
Gonzalo Bascuñan,Diego Yañez,Memoria,valor
Alejandro Aravena,Luciana Gonzalez,Sostenibilidad,valor
Alejandro Aravena,Gabriela Hearst,Sostenibilidad,valor
Alejandro Aravena,María Cornejo,Sostenibilidad,valor
Luciana Gonzalez,Gabriela Hearst,Sostenibilidad,valor
Luciana Gonzalez,María Cornejo,Sostenibilidad,valor
Gabriela Hearst,María Cornejo,Sostenibilidad,valor
Ivel  Hernandez,Cruz Contreras,Arte,valor
Ivel  Hernandez,Felix Beltran,Arte,valor
Ivel  Hernandez,Andrea Torres,Arte,valor
Ivel  Hernandez,Carlos Cadenas,Arte,valor
Ivel  Hernandez,Tite Barbuzza,Arte,valor
Ivel  Hernandez,Luciana Gonzalez,Arte,valor
Cruz Contreras,Felix Beltran,Arte,valor
Cruz Contreras,Andrea Torres,Arte,valor
Cruz Contreras,Carlos Cadenas,Arte,valor
Cruz Contreras,Tite Barbuzza,Arte,valor
Cruz Contreras,Luciana Gonzalez,Arte,valor
Felix Beltran,Andrea Torres,Arte,valor
Felix Beltran,Carlos Cadenas,Arte,valor
Felix Beltran,Tite Barbuzza,Arte,valor
Felix Beltran,Luciana Gonzalez,Arte,valor
Andrea Torres,Carlos Cadenas,Arte,valor
Andrea Torres,Tite Barbuzza,Arte,valor
Andrea Torres,Luciana Gonzalez,Arte,valor
Carlos Cadenas,Tite Barbuzza,Arte,valor
Carlos Cadenas,Luciana Gonzalez,Arte,valor
Tite Barbuzza,Luciana Gonzalez,Arte,valor
Fabricio Teixeira,Alejandra Lamelas,Comunidad,valor
Dario Osorio,Priscilla Huaman,Cultura,valor
Dario Osorio,Gabriela Hearst,Cultura,valor
Priscilla Huaman,Gabriela Hearst,Cultura,valor
Pablo Stanley,Ximena Ulibarri,Educacion,valor
Pablo Stanley,Gonzalo Bascuñan,Educacion,valor
Pablo Stanley,Lupe Gajardo,Educacion,valor
Pablo Stanley,Antonio Contreras,Educacion,valor
Ximena Ulibarri,Gonzalo Bascuñan,Educacion,valor
Ximena Ulibarri,Lupe Gajardo,Educacion,valor
Ximena Ulibarri,Antonio Contreras,Educacion,valor
Gonzalo Bascuñan,Lupe Gajardo,Educacion,valor
Gonzalo Bascuñan,Antonio Contreras,Educacion,valor
Lupe Gajardo,Antonio Contreras,Educacion,valor
Silvia Tcherassi,María Cornejo,Empoderamiento Feminino,valor
Matias Duarte,Sofía Quintero,Experiencia,valor
Matias Duarte,Ximena Vengoechea,Experiencia,valor
Matias Duarte,Catalina Bustos,Experiencia,valor
Matias Duarte,Christian Vivanco,Experiencia,valor
Matias Duarte,Ignacia Murtagh,Experiencia,valor
Sofía Quintero,Ximena Vengoechea,Experiencia,valor
Sofía Quintero,Catalina Bustos,Experiencia,valor
Sofía Quintero,Christian Vivanco,Experiencia,valor
Sofía Quintero,Ignacia Murtagh,Experiencia,valor
Ximena Vengoechea,Catalina Bustos,Experiencia,valor
Ximena Vengoechea,Christian Vivanco,Experiencia,valor
Ximena Vengoechea,Ignacia Murtagh,Experiencia,valor
Catalina Bustos,Christian Vivanco,Experiencia,valor
Catalina Bustos,Ignacia Murtagh,Experiencia,valor
Christian Vivanco,Ignacia Murtagh,Experiencia,valor
Abel Carcamo,Natalia Criado,Sostenibilidad,valor
